,rewards,actor_losses,critic_losses,trajectory_lengths
0,-394.8515036779468,1.0405277,1.2225318,157
1,-563.3232355888916,2.1091514,49.290455,69
2,-903.4008565275378,4.346875,59.976086,87
3,-417.15348085791493,6.111164,49.835888,95
4,-677.7713871775583,6.483338,43.319115,58
5,-1222.3224173535798,7.4125714,49.11524,108
6,-870.2129557663155,8.714897,56.39234,85
7,-676.5152400985788,9.639378,51.06904,59
8,-1019.256458003361,10.238978,51.771,101
9,-909.3431332506358,10.99264,42.395855,77
10,-766.8006845385979,11.950659,59.43468,67
11,-1586.801536337899,12.840014,57.80758,121
12,-891.8554957566249,13.677901,50.542423,88
13,-331.34434442815365,13.583426,42.36296,51
14,-479.9913084423646,13.373333,40.84878,70
15,-541.4441524653408,13.341023,55.271317,87
16,-399.2141677555393,13.250665,51.986206,77
17,-419.15225548856273,13.260604,46.908646,81
18,-665.3643612269491,12.453844,34.72394,186
19,-673.1247908669377,12.265658,39.39516,91
20,-715.6824979610412,12.403281,41.15114,88
21,-395.04394670969896,13.845711,33.857418,133
22,-760.0315467183995,15.687396,36.839836,80
23,-654.689165077615,16.209747,41.477448,73
24,-605.0905865496431,16.908249,33.30769,70
25,-857.8598180332458,17.525682,29.194275,81
26,-480.054999638824,18.44803,37.81895,55
27,-770.9506651989317,19.43682,43.319794,82
28,-551.558225930283,20.243662,33.93472,69
29,-464.6515200583498,20.83912,34.33163,60
30,-455.0054326214702,21.105259,38.36788,56
31,-517.2716089461856,22.034155,30.725222,66
32,-353.6080541635089,22.28629,38.622684,52
33,-635.2039822073605,22.597183,27.141705,80
34,-552.6050559847588,23.170013,35.882233,61
35,-626.5766931664758,24.214584,20.353573,65
36,-452.29557122409636,24.436146,31.808802,61
37,-430.45911556697905,24.720139,23.909866,54
38,-653.0790302007459,24.72538,19.24971,75
39,-486.46037161305355,26.465754,23.725737,55
40,-491.5022934790138,26.54152,36.88862,68
41,-456.3285128901188,26.768631,37.41269,58
42,-541.965327696226,27.258396,40.917736,58
43,-553.4236472942848,27.715582,41.157333,59
44,-429.01656281028113,28.60103,30.090548,51
45,-586.5496569650327,29.23124,30.780983,62
46,-756.0835817944703,29.107819,26.418913,83
47,-586.9426317092452,29.65388,31.417414,64
48,-502.3501455816589,30.504803,21.968071,58
49,-628.4013795211307,31.347971,27.337835,69
50,-433.36237509721633,32.038063,43.988228,52
51,-518.3024348158633,31.819853,31.840221,68
52,-110.63692499321935,32.71903,19.792707,85
53,-334.802437575928,31.134766,27.302023,316
54,-227.09880992932324,30.614023,29.53897,253
55,-408.2321720599788,29.983212,30.494202,341
56,-338.2748242338231,29.77141,27.555494,235
57,-216.55709982478203,28.691725,22.090696,205
58,-283.89218804464963,28.129534,25.148787,324
59,-347.92383521164334,27.714354,28.475082,645
60,-250.8443662937916,26.836847,23.330967,371
61,-186.3182043403556,26.093782,29.92348,263
62,-355.47675740655285,26.748022,26.59685,270
63,-158.29988790028366,26.004227,23.739073,564
64,-214.45131655762478,25.710361,18.255665,213
65,-94.6900992611914,24.79622,19.595789,558
66,-60.30671451520721,23.996347,19.895779,400
67,-169.91359429744753,23.630415,21.24475,351
68,-643.9346164180868,23.721241,19.475986,551
69,-494.92470029926864,23.295235,19.943558,1360
70,-452.88083499469974,22.300354,19.23702,765
71,-440.74333272860525,22.110723,17.943304,714
72,-254.39148943681664,22.337397,17.567686,387
73,-209.6995951164348,22.374561,17.210117,350
74,-251.54878742390065,21.247665,16.120012,515
75,-306.85764795892,21.03325,17.101929,1156
76,-391.067123813196,20.779821,14.64636,1449
77,-410.59314142063994,19.914772,16.52555,1644
78,-403.72283962307887,19.216206,16.273577,1478
79,-334.60956298017,19.209948,16.715721,1824
80,-102.67490674713775,18.684883,13.032707,799
81,-391.3451904998914,18.535185,13.055472,524
82,-388.96119941011085,18.151651,17.688993,824
83,-243.4546832959621,18.233982,20.244244,1244
84,-134.66655701781997,17.710003,17.426899,939
85,-156.36856273673445,16.712797,13.144458,849
86,-112.10043746998882,16.424288,16.74878,549
87,-379.34834406538016,16.714464,18.0045,788
88,-241.29028422347184,16.96615,18.879063,848
89,-266.83306440463895,16.600416,13.468122,923
90,-459.15090217488387,16.816813,20.591898,133
91,-256.0637788901303,16.113314,12.703802,289
92,-485.7871994596919,16.06646,22.42685,138
93,-99.50448286624835,16.007315,16.397379,702
94,-237.5063907322438,15.459271,16.221117,954
95,-425.4001965700128,15.025366,16.248486,2151
96,-416.5350272469754,13.6961565,15.33344,1805
97,-187.67040598587283,12.930917,16.187866,540
98,-177.51487870544256,12.5364895,12.959345,767
99,-185.16130446152903,12.305624,15.469274,751
100,-312.2326071917564,11.639468,12.855084,1523
101,-161.45554573497785,11.240331,14.095179,566
102,-169.55301293697306,11.260552,9.852373,746
103,-100.06018154309908,11.451081,20.106283,339
104,-188.32244301461873,10.818698,13.926199,802
105,-192.33966946228327,11.309007,13.224041,665
106,-155.01230825796355,10.409153,10.9698715,145
107,-204.00769164041563,11.217076,11.832152,821
108,-226.17090357692786,10.829796,11.904567,355
109,-212.74807322319793,10.2258415,14.252702,454
110,-254.41092562689738,9.515384,9.077455,102
111,-103.94005428794289,10.626399,11.590444,142
112,-218.24561754878022,10.398095,8.564889,628
113,-207.3424548733485,10.914548,12.648577,734
114,-157.74032364244113,10.254738,13.157651,718
115,-181.4368732707299,10.059549,9.5849695,777
116,-158.09287844934994,10.73718,14.262189,346
117,-161.76516361423091,10.842798,15.200787,176
118,-168.1005249412006,9.915842,13.504021,376
119,-123.02591906207954,10.432287,8.348313,402
120,-103.11396779021055,10.358159,6.7540617,212
121,-148.0541654542831,10.035746,11.16094,426
122,-132.6096860214191,9.449962,14.04385,357
123,-475.89897093357814,9.267215,6.40914,152
124,-218.68325172224039,9.418426,12.154552,481
125,-237.48615477897755,9.006438,9.906642,628
126,-249.67065463414372,9.256783,15.046517,1092
127,-613.5417883925337,8.955588,9.782842,2201
128,-402.8356922151906,8.508897,11.731896,1700
129,-342.1047707574502,7.812394,11.108603,1302
130,-149.42786883053975,7.499292,8.672575,342
131,-275.2127128690647,7.2165465,12.874177,933
132,-155.4725123892236,7.7360187,9.216032,123
133,-268.3381311100134,7.1570053,9.949235,763
134,-222.49957167975407,7.1988316,9.330198,329
135,-590.8923203605445,6.328002,9.818161,3147
136,-993.4433469414107,6.494714,10.162816,10515
137,-245.3570337078357,7.0419755,7.966519,191
138,-327.5104428510738,7.1858377,12.836921,458
139,-163.06593368635475,6.293963,8.798346,138
140,-63.77745525944808,7.179496,8.849021,193
141,-294.7508435545695,6.8000994,7.3090534,226
142,-350.344890157764,6.0840325,12.528844,279
143,-204.6319355714528,7.169336,13.830432,212
144,-135.86787013069375,5.583218,8.559036,130
145,-51.397873394355756,6.76511,8.3254,204
146,-9.757864113455682,6.9278965,6.9172244,182
147,-285.2262380095641,6.9029255,8.410448,274
148,-160.2643781144187,6.579724,12.851172,177
149,-436.5278303951737,6.6017056,11.694286,156
150,-75.94191060845351,6.204099,10.202716,379
151,-248.34911344529408,6.471132,9.197103,731
152,-465.19169028424943,6.5800714,14.296293,177
153,-237.60850840976673,6.8554993,10.19481,279
154,-271.34595639538014,6.1255507,6.4522767,100
155,-357.98445945760454,5.9801054,24.720364,167
156,-527.4936423632728,5.6744623,8.365612,204
157,-593.9186208967731,5.8662877,10.426499,2055
158,-188.57564016989556,6.226482,13.7458105,167
159,-184.09425902509702,5.1947966,7.5754104,150
160,-185.04467543400511,5.150177,9.627365,136
161,-176.9028561126994,5.4128375,9.977875,143
162,-148.97917265303602,5.8466463,9.693045,109
163,-281.1864279793104,5.9989734,8.449112,165
164,85.4078112814835,5.4016995,10.514655,1241
165,-194.85185786856792,5.24,12.903068,391
166,-297.598630527016,5.3520665,7.393276,247
167,94.78336685194127,5.293761,11.720625,1048
168,-269.76014552868696,5.1265388,10.197432,285
169,-168.37756634875876,5.3055477,12.400076,1026
170,-145.10360024091227,5.231934,9.405089,307
171,-496.82986645867123,4.477548,10.018407,3173
172,-97.97429138142454,4.037473,11.506481,211
173,163.00311695580464,3.7448668,12.864988,815
174,-217.3697302866519,3.7860386,13.740049,918
175,-54.330695018747846,4.38122,15.411128,187
176,-341.3786000771713,3.1369665,12.33362,2274
177,-230.1070295985697,3.2335277,10.288083,188
178,-103.5417479077704,2.1714592,8.532883,164
179,-278.42630184178375,1.9011502,6.7120533,113
180,-188.37964924325178,2.6375253,9.131854,120
181,-228.7947623997649,2.5781996,10.946344,111
182,-373.2076855448576,2.5741553,15.598995,99
183,-562.8872766286277,2.6113052,12.878192,187
184,-151.22539175087755,2.562088,10.517141,305
185,-97.31706447978198,2.4278193,10.846773,220
186,-296.5329866569165,3.0322595,10.701816,182
187,-52.133826593561096,2.508962,13.048843,191
188,-13.17616238621794,2.9400055,11.497418,256
189,-160.20220175015425,2.120001,13.449443,724
190,-67.77909327182826,1.9299123,11.927272,193
191,-152.32609041084237,2.0001783,10.699207,621
192,-346.4813389622762,1.9579253,12.247115,1651
193,-139.72015857200705,1.2782027,10.575823,84
194,-116.09558226787024,1.9137866,16.216364,248
195,-108.81728591384385,1.1174841,12.668834,127
196,-426.58496008402614,0.75079095,13.461919,2022
197,-651.8412774499659,-0.23901746,11.855017,3489
198,-2093.9475430430707,-3.463663,12.238761,11381
199,-369.5468849992472,-6.472094,12.286785,154
200,-517.9954496923228,-5.647831,11.013428,133
201,31.049157391613235,-6.4203916,13.834185,1607
202,-517.2499227111724,-6.9686856,12.200723,2025
203,-289.1856567102813,-8.1419525,11.438198,3335
204,-101.76140300488706,-8.905256,13.480018,1934
205,-1011.7182707491379,-10.385633,12.241099,7225
206,161.55871351740845,-11.599678,10.901244,799
207,-593.4669813745753,-11.870541,12.067932,3190
208,-204.91861935698296,-12.684268,7.939198,126
209,114.50336409062024,-12.545356,11.766683,1125
210,124.92404717607914,-12.951309,11.075701,897
211,112.89021752036396,-13.075868,11.004009,1098
212,-227.84821641721135,-13.303858,12.406063,2504
213,72.58970189040983,-13.823647,16.00395,1198
214,-146.41803423054768,-14.348675,11.003258,834
215,-216.26236855980983,-14.274505,8.717049,108
216,-22.342363944812803,-13.69005,13.190511,363
217,209.72294383875646,-14.103887,15.887394,706
218,97.11462825537572,-14.510627,13.068912,821
219,219.08152683495553,-14.33543,12.919244,476
220,177.14759156391523,-14.3075905,10.103049,668
221,238.0186562886829,-14.567244,12.075843,413
222,114.4720802056826,-14.380535,19.574463,871
223,77.08808288438625,-14.974928,15.058578,1337
224,152.79529828082528,-15.32213,12.231873,1167
225,-156.46686536187502,-15.744399,15.360163,1029
226,-363.3799542747168,-15.896215,11.511532,1948
227,-73.91520709819105,-15.962305,16.335842,155
228,-116.59604345544682,-16.108328,14.874876,2209
229,-328.23108326437193,-17.063152,8.713211,119
230,-151.4694909103822,-16.08359,11.163682,94
231,254.12475762699768,-16.447865,14.983937,442
232,-190.66609114475398,-16.789179,12.847004,437
233,-580.7314346591504,-17.172619,13.678305,2514
234,-167.15077527420902,-17.59787,14.691993,198
235,-148.37475134978718,-17.737082,18.505186,968
236,14.94482186159496,-17.692238,19.087685,397
237,18.14083948299205,-17.72382,7.88106,339
238,214.43569257300697,-18.012718,9.177191,586
239,103.05845701215924,-18.321253,16.71653,1043
240,-91.72338074115731,-18.771791,13.353663,596
241,-45.096924486961065,-18.64394,11.187052,390
242,-18.20767249988961,-18.480877,12.252219,262
243,-14.071575496445476,-19.152395,12.053852,495
244,-3.2839890183367686,-19.36511,10.043802,298
245,-180.2071073911439,-19.0326,10.246153,357
246,-37.41467242091218,-19.239313,12.182977,2423
247,59.51164501993063,-20.318054,11.582266,1076
248,-298.43958839927865,-19.991016,10.193279,256
249,165.4072133276679,-20.051586,18.217394,655
250,-292.3187363955908,-20.255577,18.422363,520
251,-99.09251586252071,-20.629452,12.519461,2331
252,176.36572698066266,-20.794916,12.191938,606
253,216.56933404310058,-20.90487,22.752218,399
254,-3.21233807857233,-21.068737,14.149294,1892
255,109.03889114192488,-21.461596,14.887595,849
256,-188.4626488070025,-22.084152,14.65767,2655
257,170.03654058976707,-22.326561,18.627592,660
258,158.23691374992927,-22.49982,14.450145,901
259,163.15741926775505,-22.937609,11.067835,758
260,-121.22945391665172,-23.198887,12.335032,2370
261,-849.4147317853373,-23.702768,13.055321,5825
262,-149.12024282467524,-24.083998,12.795934,1009
263,103.50101059730892,-24.385801,11.354612,855
264,147.71854917034906,-24.68604,19.187155,1144
265,44.73786359756987,-24.71693,15.117712,1307
266,44.28295361774828,-25.084398,12.593674,1132
267,-619.8523043221746,-25.165207,13.740349,2554
268,-157.4588436489891,-25.700527,13.284742,2324
269,-725.5234359639634,-25.871101,13.042671,3332
270,-310.6821899411053,-26.080404,15.4691725,113
271,-1326.696258892913,-26.699728,12.222807,7503
272,-249.3536557260062,-27.091137,12.945712,2619
273,177.49490930064005,-27.37009,14.303487,693
274,-38.55679498569728,-27.253006,11.940916,297
275,83.89683730257104,-27.575996,15.830434,999
276,-1197.1626283735527,-27.85024,12.786585,7975
277,184.72547836795357,-28.218586,12.4939165,1192
278,-299.30239213107257,-28.402275,13.011182,1643
279,-15.648212062961605,-28.454233,14.415239,1646
280,195.33523481583592,-28.558283,11.841388,422
281,-1055.0886792795313,-28.84818,12.435742,7722
282,-209.56195484923455,-29.03778,13.965032,1421
283,-719.1545583728536,-29.28022,13.23062,5556
284,-426.3203406053341,-29.543201,12.311984,3926
285,-497.9868797320216,-29.725666,14.455851,1520
286,-501.1532024791712,-29.61617,11.97383,4442
287,11.375892580528287,-29.523079,11.501822,1746
288,-45.16257012739865,-29.461914,12.015902,1976
289,170.14382187771753,-29.744812,9.568623,965
290,169.19973198607707,-29.747728,16.149235,792
291,24.420374095557207,-29.628181,9.930129,1446
292,167.09719103693936,-29.559177,12.850675,670
293,25.839639945727228,-29.827465,11.760003,1491
294,-208.11353272241723,-29.255602,11.775921,117
295,-256.82108884398076,-29.766617,9.3843,106
296,-290.8213278974037,-29.04196,7.498596,148
297,-102.8932677944534,-29.409811,13.408585,544
298,113.97825703700643,-29.52859,11.542621,925
299,206.8223400340321,-29.615393,8.988171,695
300,127.67306150460823,-29.734682,11.145617,800
301,102.95022707193078,-29.636614,10.061158,1220
302,206.54928846965404,-29.556368,12.357308,757
303,223.7369307374732,-29.085817,17.869242,583
304,220.4960302280479,-29.78058,14.356045,676
305,247.2067921220121,-29.9751,10.437267,407
306,183.38080391660213,-29.739985,16.427769,532
307,234.22547940425957,-30.007933,11.807851,583
308,132.34178930674352,-30.092974,15.337881,901
309,-305.2680004819547,-30.03133,12.8918915,1360
310,-370.3475445561207,-30.458372,22.337194,116
311,142.15833489358016,-30.313421,10.269333,946
312,158.3575075035571,-30.673407,15.179326,919
313,201.65765857891938,-30.355455,11.887325,613
314,246.2991208709829,-31.366505,14.574908,449
315,142.2498896893157,-31.249699,10.606225,953
316,158.79402717960681,-30.777075,11.547704,992
317,217.3968479351676,-31.22108,10.887108,791
318,117.55766275119632,-31.681385,12.68388,1229
319,178.0645842367523,-31.761974,12.295052,769
320,131.89946164783257,-32.144978,15.798393,993
321,156.45852092062123,-32.34353,11.07436,973
322,88.42775892503015,-32.67441,12.3210125,1305
323,246.68294098308735,-32.757504,12.799431,624
324,242.38065672220145,-33.13637,15.439296,616
325,206.86427397330732,-32.94185,16.195326,548
326,187.40286332289287,-33.74123,10.64643,416
327,-231.3974746511302,-33.313553,12.69007,129
328,191.0584079668081,-33.628407,14.088889,633
329,-339.9240804811075,-34.09564,15.070219,294
